,name,singer,link,comments_num
107,Dream It Possible,Delacey,https://music.163.com/song?id=38592976,215324
29,See You Again,Wiz Khalifa / Charlie Puth,https://music.163.com/song?id=30953009,184778
39,Hall of Fame,The Script / will.i.am,https://music.163.com/song?id=19542337,169506
22,Despacito (Remix),Luis Fonsi / Daddy Yankee / Justin Bieber,https://music.163.com/song?id=472361096,153229
3,We Don't Talk Anymore,Charlie Puth / Selena Gomez,https://music.163.com/song?id=401249910,144809
56,Nevada (feat. Cozi Zuehlsdorff),Vicetone / Cozi Zuehlsdorff,https://music.163.com/song?id=418602088,140119
0,Shape of You,Ed Sheeran,https://music.163.com/song?id=451703096,118582
76,Freaks (Radio Edit),Timmy Trumpet / Savage,https://music.163.com/song?id=29787426,110633
32,There For You,Martin Garrix / Troye Sivan,https://music.163.com/song?id=480426313,110376
126,Uptown Funk,Mark Ronson / Bruno Mars,https://music.163.com/song?id=29722263,107478
31,Counting Stars,OneRepublic,https://music.163.com/song?id=26060065,102944
21,Look At Me Now,Charlie Puth,https://music.163.com/song?id=28188171,94534
12,All Falls Down,Alan Walker / Noah Cyrus / Digital Farm Animals,https://music.163.com/song?id=515453363,87623
64,I Want My Tears Back,Nightwish,https://music.163.com/song?id=21311956,79607
128,I Just Wanna Run,The Downtown Fiction,https://music.163.com/song?id=4386589,76953
119,Sugar,Maroon 5,https://music.163.com/song?id=29019227,74624
102,Sunburst,Tobu / Itro,https://music.163.com/song?id=28830411,70883
101,Here With You,Asher Book,https://music.163.com/song?id=27583305,69459
80,The Spectre,Alan Walker,https://music.163.com/song?id=506092035,67801
142,Take Me To Infinity,Consoul Trainin,https://music.163.com/song?id=431855270,64637
1,How Long,Charlie Puth,https://music.163.com/song?id=509728806,55125
6,Demons,Imagine Dragons,https://music.163.com/song?id=19945735,54509
9,On My Own,Ashes Remain,https://music.163.com/song?id=16483438,53754
105,Legends Never Die (Alan Walker Remix),Against the Current / Alan Walker,https://music.163.com/song?id=517411583,53202
96,East of Eden,Zella Day,https://music.163.com/song?id=29009655,52246
66,Party Till We Die (Radio Edit),Timmy Trumpet / Andrew W.K. / MAKJ,https://music.163.com/song?id=427542109,51075
42,My My My!,Troye Sivan,https://music.163.com/song?id=529825010,50818
2,Attention,Charlie Puth,https://music.163.com/song?id=473817398,48464
82,Good Life,G-Eazy / Kehlani,https://music.163.com/song?id=466122659,47030
55,We Are Young,Fun. / Janelle Monáe,https://music.163.com/song?id=26069686,45795
78,Don't Let Me Down,The Chainsmokers / Daya,https://music.163.com/song?id=402070862,43147
116,This Is What You Came For,Calvin Harris / Rihanna,https://music.163.com/song?id=411314681,42041
106,All We Know,The Chainsmokers / Phoebe Ryan,https://music.163.com/song?id=432698441,40074
36,POP/STARS,Madison Beer / (G)I-DLE / Jaira Burns,https://music.163.com/song?id=1321385655,38197
71,Glitter & Gold,Barns Courtney,https://music.163.com/song?id=457761477,34858
18,He's a Pirate,Klaus Badelt,https://music.163.com/song?id=1620506,33837
63,Skin,Rag'N'Bone Man,https://music.163.com/song?id=455653437,33347
51,Bloom,Troye Sivan,https://music.163.com/song?id=556204150,32857
84,Bang Bang,Jessie J / Ariana Grande / Nicki Minaj,https://music.163.com/song?id=28850212,31460
10,Believer (Kaskade Remix),Imagine Dragons / Kaskade,https://music.163.com/song?id=483156032,30891
127,24K Magic,Bruno Mars,https://music.163.com/song?id=433681259,30625
89,Let Me Love You,DJ Snake / Justin Bieber,https://music.163.com/song?id=420922950,29605
8,Radioactive,Imagine Dragons,https://music.163.com/song?id=19945726,29160
91,Beauty,Wolf Colony,https://music.163.com/song?id=32166834,27850
26,Galway Girl,Ed Sheeran,https://music.163.com/song?id=460043704,25873
75,Legend,The Score,https://music.163.com/song?id=471411253,24968
88,Price Tag,Jessie J / B.o.B,https://music.163.com/song?id=18794244,24794
93,As Long As You Love Me,Justin Bieber / Big Sean,https://music.163.com/song?id=1518938,23733
133,Try,P!nk,https://music.163.com/song?id=27515086,23287
43,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,https://music.163.com/song?id=26199446,22030
57,Stronger (What Doesn't Kill You),Kelly Clarkson,https://music.163.com/song?id=2870985,21656
54,Different World,Alan Walker / K-391 / CORSAK / Sofia Carson,https://music.163.com/song?id=1328047738,20712
77,Feelings,Maroon 5,https://music.163.com/song?id=29019232,20497
134,Booty Music,Deep Side,https://music.163.com/song?id=2526625,18414
87,Boom Boom Pow (Clean),Black Eyed Peas,https://music.163.com/song?id=3949444,17709
138,Party Shaker (Video Edit),R.I.O. / Nicco,https://music.163.com/song?id=1923483,17595
61,Sky High,Elektronomia,https://music.163.com/song?id=451126088,16917
109,It Ain't Me,Kygo / Selena Gomez,https://music.163.com/song?id=460043372,16494
108,My Dilemma 2.0,Selena Gomez,https://music.163.com/song?id=29747527,16377
100,Hymn for the Weekend (SeeB Remix),Coldplay / SeeB,https://music.163.com/song?id=412951708,16034
130,Hymn for the Weekend (BOXINBOX & LIONSIZE Remix),Boxinbox & Lionsize / Vyel / Sophia Omarji,https://music.163.com/song?id=409647889,14721
15,Cheap Thrills,Sia,https://music.163.com/song?id=39224884,14591
115,S&M,Rihanna,https://music.163.com/song?id=21563195,14197
24,Done For Me,Charlie Puth / Kehlani,https://music.163.com/song?id=544199008,13226
110,Treat You Better,Shawn Mendes,https://music.163.com/song?id=415904452,12882
135,So Good (Alex Adair Remix),Louisa Johnson / Alex Adair,https://music.163.com/song?id=441566422,10730
85,Man on a Mission,Oh The Larceny,https://music.163.com/song?id=465920383,9607
125,Love You Like A Love Song,Selena Gomez & The Scene,https://music.163.com/song?id=19192331,7673
131,Call Me Maybe,Carly Rae Jepsen,https://music.163.com/song?id=2313949,6113
144,Take It Off,Kesha,https://music.163.com/song?id=2918956,3961
143,Determine,Alonzo,https://music.163.com/song?id=5042283,1990
70,The Fox,Ylvis,https://music.163.com/song?id=27706564,0
117,Maps,Maroon 5,https://music.163.com/song?id=28661564,0
124,Pretty Girl (Cheat Codes X CADE Remix),Cheat Codes / Maggie Lindemann / CADE,https://music.163.com/song?id=465920775,0
123,There's Nothing Holdin' Me Back,Shawn Mendes,https://music.163.com/song?id=473602620,0
122,The Cure,Lady Gaga,https://music.163.com/song?id=472045959,0
121,Payphone,Maroon 5 / Wiz Khalifa,https://music.163.com/song?id=4172700,0
120,Animals,Maroon 5,https://music.163.com/song?id=28987626,0
25,LA Girls,Charlie Puth,https://music.163.com/song?id=557583011,0
118,Moves Like Jagger,Maroon 5,https://music.163.com/song?id=21253966,0
27,Oops,Little Mix / Charlie Puth,https://music.163.com/song?id=441491080,0
20,Purple Passion,Diana Boncheva,https://music.163.com/song?id=2529472,0
28,Havana,Camila Cabello / Young Thug,https://music.163.com/song?id=494865824,0
114,Revolution,The Score,https://music.163.com/song?id=455500439,0
113,Diamonds,Rihanna,https://music.163.com/song?id=21563184,0
112,Worth It,Fifth Harmony / KiD Ink,https://music.163.com/song?id=30212890,0
111,Wolves,Selena Gomez / Marshmello,https://music.163.com/song?id=515269424,0
30,Sober,G-Eazy / Charlie Puth,https://music.163.com/song?id=522511677,0
23,Just Like Fire,P!nk,https://music.163.com/song?id=409931224,0
19,Sky (Radio Edit),Steerner / Martell,https://music.163.com/song?id=29553031,0
34,Faded,Alan Walker / Iselin Solheim,https://music.163.com/song?id=36990266,0
136,Trouble Is A Friend,Lenka,https://music.163.com/song?id=16607987,0
4,The Phoenix,Fall Out Boy,https://music.163.com/song?id=26199445,0
141,E.T.,Katy Perry,https://music.163.com/song?id=2871185,0
140,Time (Official),MKJ,https://music.163.com/song?id=33035611,0
139,Closer,The Chainsmokers / Halsey,https://music.163.com/song?id=423228325,0
5,Centuries,Fall Out Boy,https://music.163.com/song?id=29307038,0
137,What Are You Waiting For?,Nickelback,https://music.163.com/song?id=29307037,0
7,Immortals,Fall Out Boy,https://music.163.com/song?id=30064351,0
17,Go Time,Mark Petrie,https://music.163.com/song?id=29717271,0
11,Numb,Linkin Park,https://music.163.com/song?id=4153366,0
13,Viva La Vida,Coldplay,https://music.163.com/song?id=3986017,0
132,We Can't Stop,Boyce Avenue / Bea Miller,https://music.163.com/song?id=29480187,0
14,Victory,Two Steps From Hell,https://music.163.com/song?id=31654455,0
16,Breath and Life,Audio Machine,https://music.163.com/song?id=3935139,0
129,Wannabe (Spice Girls Cover),Unlike Pluto / Joanna Jones,https://music.163.com/song?id=501220770,0
33,Best Day Of My Life,American Authors,https://music.163.com/song?id=27646851,0
35,RISE,The Glitch Mob / Mako / The Word Alive,https://music.163.com/song?id=1313107065,0
69,In The End,Linkin Park,https://music.163.com/song?id=4153632,0
49,What Makes You Beautiful,One Direction,https://music.163.com/song?id=17753288,0
86,Domino,Jessie J,https://music.163.com/song?id=2867202,0
52,YOUTH,Troye Sivan / Allie X,https://music.163.com/song?id=36668810,0
53,Samsara,Tungevaag & Raaban,https://music.163.com/song?id=33291435,0
83,Roar,Katy Perry,https://music.163.com/song?id=27566922,0
