link,name,singer,comments_num
https://music.163.com/song?id=1335483321,Wow.,Post Malone,2285
https://music.163.com/song?id=545947135,All For Love,Tungevaag & Raaban,2285
https://music.163.com/song?id=1720010,Satellites,Matthew Perryman Jones,2285
https://music.163.com/song?id=29004010,Wonder What You're Doing for the Rest of Your Life,Train / Marsha Ambrosius,2284
https://music.163.com/song?id=34200508,Don't You Worry Child (Charming Horses Remix),Beth / Charming Horses,2283
https://music.163.com/song?id=432506601,s a i t a m a t y p e o f b e a t,shala woods,2282
https://music.163.com/song?id=22450326,Apple Bed,Sparklehorse,2281
https://music.163.com/song?id=1293951983,Head In The Clouds,88rising / joji,2280
https://music.163.com/song?id=530986653,The Underground,Hardwell / Timmy Trumpet,2280
https://music.163.com/song?id=1298507163,Whiplash,R3hab / Kaela Sinclair,2279
https://music.163.com/song?id=499673121,Badam,Hardwell / Henry Fong / Mr. Vegas,2277
https://music.163.com/song?id=27882236,Love Song,Royal Tailor,2275
https://music.163.com/song?id=39122747,Everything Unsaid,Joshua Hyslop,2273
https://music.163.com/song?id=22618604,In A Tree,Priscilla Ahn,2273
https://music.163.com/song?id=26295849,Bara Bara Bere Bere,Alex Ferrari,2273
https://music.163.com/song?id=480409645,Need You,Allie X / Valley Girls,2272
https://music.163.com/song?id=400579372,Shelter,Lyves,2272
https://music.163.com/song?id=21273749,Dilemma,Nelly / Kelly Rowland,2272
https://music.163.com/song?id=33223259,The Hum (Andres Fresko x Skellism Remix),Andres Fresko / Dimitri Vegas & Like Mike / Ummet Ozcan / Skellism,2272
https://music.163.com/song?id=34690835,Babe Ruthless,Angel Haze,2272
https://music.163.com/song?id=22716336,죽어도 못 보내,2AM,2272
https://music.163.com/song?id=34040896,Something More,Kozoro,2272
https://music.163.com/song?id=21680447,Nothing's Gonna Stop Us Now,Starship,2271
https://music.163.com/song?id=21598355,The Sound Of Silence,Simon,2271
https://music.163.com/song?id=1876516,She's a Mystery to Me,Roy Orbison,2271
https://music.163.com/song?id=415792772,The Simple Things,Michael Carreon,2268
https://music.163.com/song?id=429450139,Take Me (Original Mix),Nicky Romero / Colton Avery,2267
https://music.163.com/song?id=1309689297,Better,Khalid,2267
https://music.163.com/song?id=552430951,Dura,Daddy Yankee,2266
https://music.163.com/song?id=432698786,Anchor,David Keane,2265
https://music.163.com/song?id=407679818,Panda (THUGLI Remix),THUGLI / Desiigner,2265
https://music.163.com/song?id=473602911,Body to Body,Mike Perry / Imani Williams,2264
https://music.163.com/song?id=33054022,On My Mind (Radio Edit),Don Diablo,2263
https://music.163.com/song?id=475264030,Pound That,VOVIII / Crossnaders,2263
https://music.163.com/song?id=1747428,Life,Harry Gregson-Williams,2261
https://music.163.com/song?id=545958134,Matter of Time!,TRÏBE,2260
https://music.163.com/song?id=33756125,Back Together,Robin Thicke / Nicki Minaj,2258
https://music.163.com/song?id=5051347,Alone in Kyoto,Air,2258
https://music.163.com/song?id=469243020,Rebel,Lady Bee / Jalise Romy,2257
https://music.163.com/song?id=31192586,Loser,Julian Moon,2256
https://music.163.com/song?id=17081026,I Do,Colbie Caillat,2256
https://music.163.com/song?id=27979277,Say Yes,This Is Leon,2254
https://music.163.com/song?id=25706380,Phresh Out The Runway,Rihanna,2254
https://music.163.com/song?id=32358185,Finally (Jay Cosmic Remix),Jay Cosmic / Mikkas / Amba Shepherd,2253
https://music.163.com/song?id=5151044,I Don't Want To Talk About It,Ive Mendes,2252
https://music.163.com/song?id=470573539,My Type,The Chainsmokers / Emily Warren,2250
https://music.163.com/song?id=29378529,No Type,Rae Sremmurd,2250
https://music.163.com/song?id=532275366,Some Time,Russ,2249
https://music.163.com/song?id=37853621,Hold feat. Daniela Andrade (Original Mix),Dabin / Daniela Andrade,2249
https://music.163.com/song?id=433003947,Sunday (Calyre Remix),Elin Bergman / Calyre,2248
https://music.163.com/song?id=1474585,Imagine,Jack Johnson,2248
https://music.163.com/song?id=431610360,Waves,Kat DeLuna,2248
https://music.163.com/song?id=1327205635,come out and play,Billie Eilish,2247
https://music.163.com/song?id=547825542,The House Of House,Dimitri Vegas & Like Mike / Vini Vici / Cherry Moon Trax,2246
https://music.163.com/song?id=1302031619,Rumors,R3hab / Sofia Carson,2246
https://music.163.com/song?id=531040804,How to Live,keepitinside / limbo,2245
https://music.163.com/song?id=28244266,Radioactive,Imagine Dragons / Kendrick Lamar,2245
https://music.163.com/song?id=28234665,Find You,Zedd / Matthew Koma / Miriam Bryant,2244
https://music.163.com/song?id=1323832567,Older,Sasha Sloan,2244
https://music.163.com/song?id=18162783,First Class,Henry Jackman,2241
https://music.163.com/song?id=2533452,The Happy Song,Elizabeth Mitchell,2240
https://music.163.com/song?id=31311095,Sparks (The Golden Pony Remix),Hilary Duff,2240
https://music.163.com/song?id=28289088,Mr. Moustafa,Alexandre Desplat,2240
https://music.163.com/song?id=541687280,X,Nicky Jam / J Balvin,2238
https://music.163.com/song?id=460099173,Island,AndyM / Joshua Edwards,2237
https://music.163.com/song?id=28310838,Don't You,Sage the Gemini,2237
https://music.163.com/song?id=17059176,Reflection,Christina Aguilera,2236
https://music.163.com/song?id=573652613,Summer on You,PRETTYMUCH,2236
https://music.163.com/song?id=28226052,Song On The Beach,Arcade Fire,2236
https://music.163.com/song?id=500410264,im so sick of this,guccihighwaters,2235
https://music.163.com/song?id=27698988,Stay the Night,Zedd / Hayley Williams,2235
https://music.163.com/song?id=471763670,Talk About Me (Kuur Remix),Kuur / Justin Caruso / Victoria Zaro,2235
https://music.163.com/song?id=17617368,Candy Street,Elsa Kopf,2234
https://music.163.com/song?id=36734749,Like You Want To,Kita Alexander,2233
https://music.163.com/song?id=494020513,- As Long As You Love Me & I Knew You Were Trouble（JB / SW / Jaker_dawson remix）,JB / SW / Jaker_dawson,2231
https://music.163.com/song?id=31452418,Precious,Vasto,2230
https://music.163.com/song?id=515453038,Illusion,Jubel / Neimy,2230
https://music.163.com/song?id=27153721,Living On Video,Pakito,2229
https://music.163.com/song?id=27968264,Flute,New World Sound / Thomas Newson,2229
