title,link,play_times,collection_times,relay_times,comments,creator,create_date
百首良曲|刷（抄）作业必备燃曲,"https://music.163.com/playlist?id=1982383224
",55420968,1570000,15700,11724,贰拾壹阿-,2017-11-19
『网易云热歌』热评10w+（持续更新）,"https://music.163.com/playlist?id=2204388891
",62437104,1450000,6670,5344,-小乔丶,2018-04-28
攒了一大堆好听的歌想和你一起听,"https://music.163.com/playlist?id=2353471182
",53844204,1010000,8292,2583,鹿白川,2018-08-08
耳朵喜欢你 好听到可以单曲循环,"https://music.163.com/playlist?id=2232237850
",64201796,960000,6119,1400,鹿白川,2018-05-19
「电子•女声」惊艳耳际，一秒倾心,"https://music.163.com/playlist?id=798130521
",29469700,670000,7007,4720,撩汉高手-,2017-07-04
2018年度最热新歌TOP100,"https://music.163.com/playlist?id=2578068117
",37909212,600000,2482,3120,网易云音乐,2018-12-29
电音史上最伟大的250首EDM音乐作品,"https://music.163.com/playlist?id=954297462
",23926124,570000,6220,2889,welphenEDM,2017-10-11
『开口脆』迷幻嗓音极致瞬间❤️,"https://music.163.com/playlist?id=824754853
",28639164,570000,4681,2134,--CJN,2017-07-25
你需要一首BGM，来撑起你的内心戏！,"https://music.163.com/playlist?id=826721715
",30566394,500000,3268,2675,小铁Joe,2017-07-27
无前奏丨女声丨欧美丨三秒爱上,"https://music.163.com/playlist?id=2008935342
",15975357,480000,3907,1150,chel_w,2017-12-10
50部爱情电影，50种浓情蜜意,"https://music.163.com/playlist?id=863956318
",16162908,440000,5844,3194,鹏鹏i苹果,2017-08-01
欧美精选 | 嗨 伙计 要来首10w+吗？,"https://music.163.com/playlist?id=2301227992
",15484310,390000,2930,2885,KillBunny,2018-07-05
2018公告牌全球百大DJ/电音制作人！,"https://music.163.com/playlist?id=2153498917
",14284236,360000,4112,4346,welphenEDM,2018-03-23
2018全年抖腿指南，老铁你怕了吗？,"https://music.163.com/playlist?id=2050704516
",18078798,330000,3458,2165,NickyRomero,2018-01-09
神级Remix电音背后的优质原作☆总集完结篇,"https://music.163.com/playlist?id=925845034
",14289376,310000,3148,721,一只爱听歌的狐狸,2017-09-20
全球史诗级万评电音【百种风格】!,"https://music.163.com/playlist?id=2303371412
",14421589,300000,2328,644,一入电音深似海_-,2018-07-06
提神醒脑 疯狂抖腿魔性摇头.GIF,"https://music.163.com/playlist?id=2364146680
",15852111,280000,3212,874,鹿白川,2018-08-15
热血燃向｜提神醒脑防瞌睡型BGM,"https://music.163.com/playlist?id=891370354
",8865246,250000,2357,1490,是走一步,2017-08-23
2018抖音热门BGM，持续更新（抖音2018）,"https://music.163.com/playlist?id=2127487363
",16780960,230000,911,422,活该你风生水起,2018-03-05
吃鸡必备BGM 主播专用,"https://music.163.com/playlist?id=2031769374
",8701524,210000,1577,997,Dum-娅馨,2017-12-27
R&B柔情男嗓丨萦绕心间的温暖细腻,"https://music.163.com/playlist?id=912256078
",12372388,210000,2957,1032,折尓,2017-09-09
欧美踩点混剪bgm燃向/剧情向,"https://music.163.com/playlist?id=2019129958
",6247998,210000,1511,1150,想养条金毛,2017-12-17
MJ 比伯 断眉 戳爷 黄老板 萌德 霉霉 骚姆.,"https://music.163.com/playlist?id=774175747
",5574543,180000,1343,891,向来歌哥,2017-06-23
【万评电音】抬头，已是一片星海,"https://music.163.com/playlist?id=2237048282
",6731593,170000,1993,845,谐星七十六号,2018-05-22
论如何优雅的做个没有感情的大人,"https://music.163.com/playlist?id=2156205051
",7181249,170000,2727,1537,鹿白川,2018-03-25
「女声控」音色沁人心 旋律美如画,"https://music.163.com/playlist?id=2040074016
",7615058,160000,1746,901,怪兽Sound,2018-01-02
〖私藏〗节奏盛宴，电音中的质感女嗓,"https://music.163.com/playlist?id=2255720648
",7159380,160000,1564,591,名侦探-柯北,2018-06-05
如何用手机铃声惊艳四座？ 纯电篇,"https://music.163.com/playlist?id=2313427124
",6018975,150000,930,950,白川京,2018-07-13
特色女嗓 · 爆破型鬼才声线集,"https://music.163.com/playlist?id=2029494007
",5939267,150000,1495,1434,qhuiya,2017-12-25
电影中的钢琴曲｜最会讲故事³,"https://music.163.com/playlist?id=2321804269
",6577433,150000,1249,696,下一颗巧克力,2018-07-19
【起床铃】我“恶毒”的室友系列,"https://music.163.com/playlist?id=2133663200
",3744206,150000,1042,1378,大理石牧神,2018-03-09
欧美·耳朵怀孕 | 盘点那些流行歌手,"https://music.163.com/playlist?id=2430220144
",7730819,150000,1111,789,赫索里茨,2018-09-22
「高质量英文歌」让你单曲循环的英文歌,"https://music.163.com/playlist?id=2256615030
",7221023,140000,1266,849,小番茄种植员啦啦,2018-06-05
存在即女王 | 来人啊 把本宫的BGM呈上,"https://music.163.com/playlist?id=869655720
",6798885,140000,1423,3554,KillBunny,2017-08-06
欧美对唱||用最浪漫的副歌 你也轻轻的附和,"https://music.163.com/playlist?id=2333641827
",6822283,140000,1170,847,她與樹洞先生,2018-07-26
Beautiful Now【音乐的力量·电音】,"https://music.163.com/playlist?id=2050976156
",7435899,140000,1446,577,Demons_xsw,2018-01-09
开口沉醉 · 慵懒迷幻的欧美女声,"https://music.163.com/playlist?id=2116417781
",5961162,140000,1570,537,贰拾壹阿-,2018-02-25
【2018年度电影精选| Ready Story 】,"https://music.163.com/playlist?id=2563772680
",9093298,140000,1103,1171,鹏鹏i苹果,2018-12-19
黑胶酒馆|耳畔的浪漫眼中的你,"https://music.163.com/playlist?id=2125737991
",5057925,130000,2017,901,IntropinRevivan,2018-03-03
J.Fla is here !  - 1 Million !!!,"https://music.163.com/playlist?id=987958198
",7675337,130000,1477,1297,JFla_Rabbits,2017-11-07
结婚曲丨小哥哥 你准备好娶我了吗,"https://music.163.com/playlist?id=2246758878
",4754418,120000,2072,1249,mayuko然,2018-05-29
Future Bass：怦然心动的软萌电子,"https://music.163.com/playlist?id=2024673301
",4318185,120000,1359,621,账号已注销无法显示,2017-12-22
2018百大DJ排行榜,"https://music.163.com/playlist?id=2310399241
",4242584,110000,1486,1836,soAoAyEDM,2018-07-11
Taylor Swift霉霉免费歌曲,"https://music.163.com/playlist?id=2359617932
",3269228,110000,985,564,-潺湲,2018-08-12
【游戏必备BGM】旋律系电音伴你自由畅玩！,"https://music.163.com/playlist?id=2325024301
",6250367,100000,603,340,谐星七十六号,2018-07-21
【欧美翻唱】一首原唱，一首翻唱，即是神曲,"https://music.163.com/playlist?id=2422515160
",5507979,100000,874,664,绊爱酱,2018-09-16
Jessica Vu 美妆背景音乐 BGM,"https://music.163.com/playlist?id=988240556
",2852343,100000,588,173,mar90,2017-11-07
“温柔点吧，这个世界已经够浮躁的了”,"https://music.163.com/playlist?id=2098892084
",3960597,100000,1723,747,小狸奴__,2018-02-12
『Shiloh Dynasty』 採 樣 集,"https://music.163.com/playlist?id=976276898
",2908452,100000,2110,650,2ev2e,2017-10-29
《太空乐鉴赏与简史》,"https://music.163.com/playlist?id=2453710966
",2711741,99753,1785,791,宇宙摇滚俱乐部,2018-10-05
玩游戏必须听的歌（满足你们）,"https://music.163.com/playlist?id=915422233
",4379787,98719,614,1700,虎牙TV心态,2017-09-11
《复古青年蹦迪指南》,"https://music.163.com/playlist?id=2456763210
",3865925,98660,1557,547,宇宙摇滚俱乐部,2018-10-06
在我的BGM里化妆 没人能美过我,"https://music.163.com/playlist?id=953939511
",3460774,98236,1019,660,跨过凌晨,2017-10-11
励志摇滚 · 人生本是永无止境的攀登,"https://music.163.com/playlist?id=2246462833
",6641432,96311,747,458,xept,2018-05-29
【节奏控】一听就上瘾的惊艳女声③,"https://music.163.com/playlist?id=2049460383
",3996672,96197,897,341,还你一个夏天,2018-01-08
我将深陷于单曲循环的魔咒 无法逃脱,"https://music.163.com/playlist?id=2182718903
",4239399,95863,835,437,薄荷猫晒太阳,2018-04-13
青柠味复古 ✘ 凌步夏傍西海岸的空幻,"https://music.163.com/playlist?id=2296601213
",3689890,93907,1056,667,X丶Greyen,2018-07-01
泰勒斯威夫特那些不要钱的歌,"https://music.163.com/playlist?id=2053195842
",2442786,91059,1205,963,Lenka_Kripac,2018-01-11
那些超带感的英文歌曲~『一秒沦陷』,"https://music.163.com/playlist?id=2390539027
",4270221,90561,807,295,Mysterious-Box,2018-08-28
电音8D环绕 带上耳机世界都是你的,"https://music.163.com/playlist?id=806065005
",3427321,90491,591,229,哒哒哒小铭儿,2017-07-11
经典复刻 | 那些惊艳耳朵的神级翻唱,"https://music.163.com/playlist?id=2498061427
",7973849,88228,449,379,她的水彩笔,2018-11-03
一个天秤座的听歌列表.,"https://music.163.com/playlist?id=2076817880
",3728869,87895,1116,5207,乌鸦koli,2018-01-27
安静细腻的欧美小调，献给失眠的你,"https://music.163.com/playlist?id=2220081292
",3882946,87612,1204,273,SuperMan-LEE,2018-05-09
打游戏必备【战歌&节奏电音&重金属】,"https://music.163.com/playlist?id=869010577
",2533180,85430,416,253,蛋蛋ptap,2017-08-05
开口即俘获人心，一听就爱上的英文歌 ②,"https://music.163.com/playlist?id=2429537442
",4439080,81973,648,252,原点FM,2018-09-21
Taylor Swift | 霉霉免费套餐,"https://music.163.com/playlist?id=2007980572
",2455790,81956,972,786,taylor1016,2017-12-09
探寻光影中的爱情记忆【经典配乐】,"https://music.163.com/playlist?id=2366527805
",4867555,78613,610,296,云音乐曲库,2018-08-16
那些曾经在Billboard上爆红的HipHop———,"https://music.163.com/playlist?id=2122279649
",3145736,76320,633,573,火属,2018-03-01
北欧民谣 | 赐你一剂澄净安逸的心灵圣药,"https://music.163.com/playlist?id=1997189512
",2828647,75644,1000,235,Xthousis666,2017-12-01
「欧美电子」电子与人声的完美碰撞♚,"https://music.163.com/playlist?id=2135457343
",3080443,75322,831,265,歇会儿别闹了,2018-03-10
"""世间上最璨然的烟火, 即是你的灿然一笑""","https://music.163.com/playlist?id=2508501707
",3574668,75172,680,1400,X丶Greyen,2018-11-11
社会人摇头必备嗨曲（极嗨）,"https://music.163.com/playlist?id=2467197621
",3201184,74224,816,285,宸极-Cody,2018-10-13
那些为电音画龙点睛的惊艳女Vocals,"https://music.163.com/playlist?id=2081768956
",3089265,73971,903,464,薛定谔的缝纫机,2018-01-31
"""我永远屈服于温柔，你是温柔本身""","https://music.163.com/playlist?id=2445945181
",2270628,70976,1197,942,杉茶先生,2018-10-01
奶一口就迷上的欧美优质男嗓,"https://music.163.com/playlist?id=2372536640
",3515209,70745,710,467,懒狗欧美音乐,2018-08-18
2018年度最热BGM,"https://music.163.com/playlist?id=2071075110
",5552335,69829,452,153,NHDZ4-10,2018-01-23
夜深了｜听电影讲枕边故事,"https://music.163.com/playlist?id=2203927235
",2903112,69406,955,389,下一颗巧克力,2018-04-28
【拯救歌荒】100首欧美新锐歌曲,"https://music.163.com/playlist?id=2466320666
",2562470,66813,592,479,pure日月,2018-10-12
行走路上，听风在歌｜欧美经典公路电影,"https://music.163.com/playlist?id=2298267009
",2583943,65595,738,396,蝶影丛虫,2018-07-03
银河系搭便车音乐指南,"https://music.163.com/playlist?id=2091221302
",2829166,64328,827,920,银河系花,2018-02-07
99°C耳朵怀孕系列,"https://music.163.com/playlist?id=2140976267
",2375693,63833,867,273,三月咖喱,2018-03-14
「清新歌谣」赠于你欢快旅行,"https://music.163.com/playlist?id=2199769306
",2965742,62318,902,536,天赋异禀美少女,2018-04-25
所有人都想要的罗PD的曲库歌单列表（持更）,"https://music.163.com/playlist?id=2059266073
",1346936,61815,695,931,Yoli_小璐,2018-01-15
高逼格婚礼快剪音乐,"https://music.163.com/playlist?id=826717436
",1240779,61695,704,304,曼妙时光里,2017-07-27
Walkers Join,"https://music.163.com/playlist?id=2448302036
",2192155,61506,672,1322,AlanWalker,2018-10-02
第61届格莱美奖提名名单,"https://music.163.com/playlist?id=2547376144
",3318699,61445,770,1378,献给莉莉的玫瑰,2018-12-08
又到了起床靠爆发力的日子了,"https://music.163.com/playlist?id=2522866436
",3057876,60882,1001,724,柠檬木有枝,2018-11-20
『 2018优质新歌电音推送 』,"https://music.163.com/playlist?id=2000367772
",3588320,60265,870,792,Kaibottcher,2017-12-03
「90后小时候听的非主流歌曲、大合集」,"https://music.163.com/playlist?id=981966668
",4379088,60168,1420,743,倩灬影,2017-11-03
Wow！这些歌简直好听到闪闪发光,"https://music.163.com/playlist?id=2313248419
",2920415,59834,637,352,鹿白川,2018-07-13
『电音女毒』女声响起/即刻沦陷,"https://music.163.com/playlist?id=2314766620
",2684745,59434,1400,369,HUMAN00,2018-07-14
还在暗恋？一封歌单情书拿去表白,"https://music.163.com/playlist?id=2476416053
",2674112,59395,520,639,DJ顾念晨,2018-10-19
暖冬治愈｜把孤独慢慢变成诗,"https://music.163.com/playlist?id=2525589725
",3922351,58866,516,295,猫头罐与六便士,2018-11-23
「欧美流行」那些你想找又找不到的歌曲,"https://music.163.com/playlist?id=889960888
",1994494,57404,265,185,金姐姐的粉丝007,2017-08-22
2018全球百大DJ排行榜,"https://music.163.com/playlist?id=2478923551
",1858297,57368,1150,1726,welphenEDM,2018-10-21
「伪治愈系Rap」你价值连城伤口的良药,"https://music.163.com/playlist?id=2341864198
",1949225,56435,517,392,Blueoutlook,2018-07-31
『欧美』让歌声带着星光，温暖你的梦,"https://music.163.com/playlist?id=2405831246
",2589480,55432,610,273,钟泽希,2018-09-06
『俏皮实验室』响指&口哨的清新节奏,"https://music.163.com/playlist?id=2318904955
",2875051,54975,539,192,云音乐VIP,2018-07-17
无尽漫威世界，永恒的斯坦李Stan Lee,"https://music.163.com/playlist?id=2511465227
",1432555,53957,2672,3733,Arriey,2018-11-13
睡在一片花海里做个美梦吧,"https://music.163.com/playlist?id=2349389734
",2431602,53695,747,302,螚安Vivienne,2018-08-05
灵性口哨·高频律感 | 将质感上升置顶,"https://music.163.com/playlist?id=956988504
",2196860,53429,308,197,跨过凌晨,2017-10-14
美国金宝贝早教儿歌,"https://music.163.com/playlist?id=884899964
",1846421,52733,642,123,谁把蜡笔小D注册了,2017-08-18
dj-toxic顶级夜场嗨曲,"https://music.163.com/playlist?id=971826288
",4400371,52425,493,111,dj顶级骚曲享受,2017-10-25
惊艳女声和电音的邂逅（2018盘点篇）,https://music.163.com/playlist?id=2579399082,2309413,51071,397,242,原点FM,2018-12-30
“长大应该是变得温柔，对全世界都温柔”,"https://music.163.com/playlist?id=2179751046
",1892334,50988,817,709,小狸奴__,2018-04-10
年少有为·年轻血液 | 别人的十几岁(欧美篇),"https://music.163.com/playlist?id=2533033217
",2532309,50140,462,296,外太空来的Mercy,2018-11-28
「烟嗓女王」暴风雨中凛然绽放的绯色之花,"https://music.163.com/playlist?id=2544904805
",2311296,50048,500,296,Amber丶Queen,2018-12-06
『冷门』Have a nice 「Holiday」假日必备,"https://music.163.com/playlist?id=2616238898
",1682813,49983,455,451,循光,2019-01-09
9102年抖腿指南，今年什么水平？,"https://music.163.com/playlist?id=2622967273
",2367826,48839,277,446,NickyRomero,2019-01-13
抖腿合集 | 清新人声+电音的完美融合,"https://music.163.com/playlist?id=2246938067
",1868689,48598,375,171,会娇喘的皮皮皮皮皮皮猪,2018-05-29
