,name,singer,link,comments_num
0,Look What You Made Me Do,Taylor Swift,https://music.163.com/song?id=501133611,674565
1,Fade,Alan Walker,https://music.163.com/song?id=29947420,641214
2,Victory,Two Steps From Hell,https://music.163.com/song?id=31654455,287224
3,Five Hundred Miles,Justin Timberlake / Carey Mulligan / Stark Sands,https://music.163.com/song?id=27759600,283522
4,Something Just Like This,The Chainsmokers / Coldplay,https://music.163.com/song?id=461347998,265218
5,Faded,Alan Walker / Iselin Solheim,https://music.163.com/song?id=36990266,238114
6,Dream It Possible,Delacey,https://music.163.com/song?id=38592976,215496
7,I Am You,Kim Taylor,https://music.163.com/song?id=2919622,213976
8,Lost Rivers,Sainkho Namtchylak,https://music.163.com/song?id=4466775,212257
9,Time (Official),MKJ,https://music.163.com/song?id=33035611,210503
10,That Girl,Olly Murs,https://music.163.com/song?id=440208476,196811
11,Legends Never Die,Against the Current,https://music.163.com/song?id=506196018,196257
12,#Lov3 #Ngẫu Hứng,Hoaprox,https://music.163.com/song?id=440353010,195636
13,RISE,The Glitch Mob / Mako / The Word Alive,https://music.163.com/song?id=1313107065,194277
14,See You Again,Wiz Khalifa / Charlie Puth,https://music.163.com/song?id=30953009,184864
15,Hello,OMFG,https://music.163.com/song?id=33211676,172010
16,Numb,Linkin Park,https://music.163.com/song?id=4153366,171524
17,Hall of Fame,The Script / will.i.am,https://music.163.com/song?id=19542337,169552
18,PLANET,ラムジ,https://music.163.com/song?id=812400,165618
19,Take me hand,DAISHI DANCE / Cecile Corbel,https://music.163.com/song?id=26092806,165316
20,You,Approaching Nirvana,https://music.163.com/song?id=3932159,153619
21,Despacito (Remix),Luis Fonsi / Daddy Yankee / Justin Bieber,https://music.163.com/song?id=472361096,153249
22,Go Time,Mark Petrie,https://music.163.com/song?id=29717271,153040
23,Seve,Tez Cadey,https://music.163.com/song?id=30394891,152593
24,Wonderful U (Demo Version),AGA,https://music.163.com/song?id=406475394,151405
25,Intro,The xx,https://music.163.com/song?id=4341314,145723
26,Monody,TheFatRat / Laura Brehm,https://music.163.com/song?id=36308916,145625
27,Five Hours,Deorro,https://music.163.com/song?id=28263911,145047
28,We Don't Talk Anymore,Charlie Puth / Selena Gomez,https://music.163.com/song?id=401249910,144852
29,A Little Story,Valentin,https://music.163.com/song?id=857896,144663
30,Head Above Water,Avril Lavigne,https://music.163.com/song?id=1310906383,143581
31,Nevada (feat. Cozi Zuehlsdorff),Vicetone / Cozi Zuehlsdorff,https://music.163.com/song?id=418602088,140237
32,My Soul,July,https://music.163.com/song?id=5308028,139568
33,Please Don't Go,Joel Adams,https://music.163.com/song?id=37653063,139233
34,Flower Dance,DJ Okawari,https://music.163.com/song?id=406238,137183
35,Intro: The Dawn,Dreamtale,https://music.163.com/song?id=4017240,135171
36,Breath and Life,Audio Machine,https://music.163.com/song?id=3935139,131508
37,Lifeline,Zeraphym,https://music.163.com/song?id=38019092,130207
38,HandClap,Fitz & the Tantrums,https://music.163.com/song?id=407839677,121578
39,Shape of You,Ed Sheeran,https://music.163.com/song?id=451703096,118605
40,Schnappi,Joy Gruttmann,https://music.163.com/song?id=2866921,117817
