title,link,play_times,collection_times,relay_times,comments,creator,create_date
『经典的魔性背景音乐』,"https://music.163.com/playlist?id=489064571
",30444386,1030000,22748,7659,右心丶,2016-10-18
『耳机党福利』‖慎入！会上瘾❤,"https://music.163.com/playlist?id=491633141
",35078132,960000,8609,2429,一拳小迷弟,2016-10-22
耳朵怀孕 | 世界级大师69支MV,"https://music.163.com/playlist?id=509355535
",40571452,860000,6834,1949,赫索里茨,2016-11-13
超燃电音：Five Hours' Burning,"https://music.163.com/playlist?id=449559997
",34342648,830000,9495,4322,xept,2016-08-23
「嗨爆」在宿舍御用的蹦迪歌曲,"https://music.163.com/playlist?id=2145434166
",25967050,710000,6998,1905,Quanjfic,2018-03-17
「电子•女声」惊艳耳际，一秒倾心,"https://music.163.com/playlist?id=798130521
",29715688,680000,7066,4737,撩汉高手-,2017-07-04
电音环绕，游戏必备！,"https://music.163.com/playlist?id=715331683
",23312100,660000,4939,2416,动漫唯美风,2017-05-02
电音史上最伟大的250首EDM音乐作品,"https://music.163.com/playlist?id=954297462
",24130896,580000,6286,2937,welphenEDM,2017-10-11
『开口脆』迷幻嗓音极致瞬间❤️,"https://music.163.com/playlist?id=824754853
",28932348,580000,4727,2163,--CJN,2017-07-25
「总结」一百大电音之王,"https://music.163.com/playlist?id=586773281
",22718782,570000,6547,7617,Quanjfic,2017-01-31
『无前奏铃声』超适合做手机铃声的歌曲！,"https://music.163.com/playlist?id=975470521
",17837782,480000,3454,2151,挪威的童话,2017-10-28
当优质原曲邂逅神级Remix,"https://music.163.com/playlist?id=627599430
",19300640,470000,5004,1367,腹黑萝莉o,2017-03-12
电萌（打游戏专用）,"https://music.163.com/playlist?id=2027010439
",9107946,420000,1756,1262,大仙的抠脚迷妹,2017-12-24
电音 | 旋律中致郁的心电击,"https://music.163.com/playlist?id=643650927
",12266628,400000,4206,1641,治愈兔,2017-03-27
『高质量纯电音合集⑴』珍藏系列,"https://music.163.com/playlist?id=442538213
",12572497,390000,5718,3461,HUMAN00,2016-08-13
2018公告牌全球百大DJ/电音制作人！,"https://music.163.com/playlist?id=2153498917
",14547364,370000,4183,4408,welphenEDM,2018-03-23
❤️徐梦圆—China系列全收录,"https://music.163.com/playlist?id=582754571
",7191156,360000,5213,2212,xx香蕉船,2017-01-26
「Chinese电音」独斟国风烟雨朦胧,"https://music.163.com/playlist?id=591585623
",10453338,350000,4707,1391,一只林轩,2017-02-05
2018全年抖腿指南，老铁你怕了吗？,"https://music.163.com/playlist?id=2050704516
",18324594,330000,3504,2183,NickyRomero,2018-01-09
国产纯音│它们连名字都很美,"https://music.163.com/playlist?id=819184135
",7909551,330000,5260,1912,Cassi0peiaA,2017-07-21
Space Club/蹦迪必备,"https://music.163.com/playlist?id=946216567
",13161459,330000,7928,1760,宋城阿边,2017-10-05
【节奏控】一听就上瘾的惊艳女声,"https://music.163.com/playlist?id=768047050
",13519351,330000,3467,1206,还你一个夏天,2017-06-18
『极致电音』-震撼你的心灵（高端毒品）,"https://music.163.com/playlist?id=624541320
",11795283,320000,2808,2732,HLKS-97,2017-03-09
神级Remix电音背后的优质原作☆总集完结篇,"https://music.163.com/playlist?id=925845034
",14403691,320000,3184,725,一只爱听歌的狐狸,2017-09-20
「响指系」令人着迷的响指节奏♬,"https://music.163.com/playlist?id=626186882
",13360705,310000,4179,1320,OyangJiaqi,2017-03-11
全球史诗级万评电音【百种风格】!,"https://music.163.com/playlist?id=2303371412
",14861760,300000,2448,659,一入电音深似海_-,2018-07-06
「日系女音&电子」爱不释手的默契结合,"https://music.163.com/playlist?id=702453759
",8362110,300000,1729,943,Areal肥阳,2017-04-20
Ghost Producer|那些才华横溢的幕后制作人,"https://music.163.com/playlist?id=757439549
",12437605,280000,2866,3865,NickyRomero,2017-06-10
妈问跪系列『电音』抖腿停不下来～,"https://music.163.com/playlist?id=522276495
",10302060,260000,2678,2096,愿我们一路深情别再枉负,2016-11-29
Trap Remix丨当欧美热单遇上毒性低音,"https://music.163.com/playlist?id=717848220
",13891512,250000,4739,753,避难所Shelter,2017-05-05
【节奏控】那些一听就中毒的电音(纯音乐篇),"https://music.163.com/playlist?id=2120271089
",8392591,210000,1857,571,原点FM,2018-02-28
无前奏 | 喜欢无需铺垫 几秒就能沉醉,"https://music.163.com/playlist?id=2302684948
",8326908,210000,1770,641,云音乐VIP,2018-07-06
吃鸡必备BGM 主播专用,"https://music.163.com/playlist?id=2031769374
",8858973,210000,1604,1017,Dum-娅馨,2017-12-27
国风电音‖朕在大清皇宫打碟,"https://music.163.com/playlist?id=704540288
",5527524,200000,3592,1921,沧暮归云-,2017-04-22
没听过这些，别说你蹦过迪,"https://music.163.com/playlist?id=805701279
",7834840,190000,3304,1083,小孙19981020,2017-07-10
MJ 比伯 断眉 戳爷 黄老板 萌德 霉霉 骚姆.,"https://music.163.com/playlist?id=774175747
",5836083,190000,1423,924,向来歌哥,2017-06-23
「纯电音」爱上电音只需一单,"https://music.163.com/playlist?id=2219988682
",6799889,190000,3162,1199,HUMAN00,2018-05-09
【万评电音】抬头，已是一片星海,"https://music.163.com/playlist?id=2237048282
",6915589,180000,2033,870,谐星七十六号,2018-05-22
魔法料理：50%电音加上50%萌音！,"https://music.163.com/playlist?id=2176407608
",2926808,170000,1104,613,白川京,2018-04-08
如何用手机铃声惊艳四座？ 纯电篇,"https://music.163.com/playlist?id=2313427124
",6104663,160000,944,957,白川京,2018-07-13
「女声控」音色沁人心 旋律美如画,"https://music.163.com/playlist?id=2040074016
",7675713,160000,1758,901,怪兽Sound,2018-01-02
〖私藏〗节奏盛宴，电音中的质感女嗓,"https://music.163.com/playlist?id=2255720648
",7275193,160000,1590,596,名侦探-柯北,2018-06-05
特色女嗓 · 爆破型鬼才声线集,"https://music.163.com/playlist?id=2029494007
",6014899,150000,1506,1449,qhuiya,2017-12-25
『日语电子』清纯可爱 温柔中不失一抹躁动,"https://music.163.com/playlist?id=959795218
",4176330,150000,1156,591,ALvetX,2017-10-15
一心只蹦圣贤迪,"https://music.163.com/playlist?id=2298534554
",6258366,150000,2990,393,可可阔落,2018-07-03
Beautiful Now【音乐的力量·电音】,"https://music.163.com/playlist?id=2050976156
",7579920,140000,1488,579,Demons_xsw,2018-01-09
一不小心就爱上了电音,"https://music.163.com/playlist?id=445967812
",4536261,140000,1363,2061,wuli浅夏,2016-08-18
白噪音 看书静心写作业用,"https://music.163.com/playlist?id=1986449263
",4677521,140000,2230,1114,Charillex,2017-11-22
『电驾』比酒驾更危险的是电驾,"https://music.163.com/playlist?id=2032139172
",5520414,130000,1445,317,修玉昕,2017-12-28
国风电音‖地名带你走遍中华万里江山,"https://music.163.com/playlist?id=620918845
",2970735,130000,1784,903,沧暮归云-,2017-03-05
中文咚鼓版背景音乐 ［楠妹儿］慢更.,"https://music.163.com/playlist?id=2333719162
",5696869,130000,760,411,楠妹儿b,2018-07-26
水果味汽水｜清甜软萌音捕获你的心,"https://music.163.com/playlist?id=689121986
",2668735,130000,903,660,阿卡琳,2017-04-07
冰镇软萌音｜不能自已的Kawaii电音,"https://music.163.com/playlist?id=873024264
",2552597,130000,910,496,阿卡琳,2017-08-08
Future Bass：怦然心动的软萌电子,"https://music.163.com/playlist?id=2024673301
",4361437,120000,1375,627,账号已注销无法显示,2017-12-22
中国风电音丨迷醉在朦胧诗华的江南中⚡,"https://music.163.com/playlist?id=2321969053
",3327740,120000,903,478,音凛酱,2018-07-19
有 点 喪 的 火 影,"https://music.163.com/playlist?id=2226392420
",3068588,110000,1221,545,小丑永远都是笑,2018-05-14
2018百大DJ排行榜,"https://music.163.com/playlist?id=2310399241
",4344108,110000,1522,1882,soAoAyEDM,2018-07-11
Kawaii Bass丨汽水糖果柠檬软萌萝莉⚡️,"https://music.163.com/playlist?id=2320041657
",2740793,110000,707,461,音凛酱,2018-07-18
「前方高能」战斗人员戴好安全帽准备战斗,"https://music.163.com/playlist?id=547236299
",7280674,100000,1047,476,Melbourne丶Bounce,2016-12-25
《太空乐鉴赏与简史》,"https://music.163.com/playlist?id=2453710966
",2760546,100000,1813,797,宇宙摇滚俱乐部,2018-10-05
