,title,link,play_times,collection_times,relay_times,comments,creator,create_date
34,「高能预警」前方高能 非战斗人员撤离！,"https://music.163.com/playlist?id=415439236
",28063552,650000,19557,6670,幽奇,2016-07-05
44,日式清新丨有一种喜欢叫做开口跪,"https://music.163.com/playlist?id=613703937
",15739995,590000,5033,1849,嘀嘀哒哒的午夜荧光果,2017-02-26
16,『1979-至今』全年代日本动漫OP大盘点-持更,"https://music.163.com/playlist?id=158010361
",18976684,580000,6469,5400,佐仓小小千代,2016-01-22
69,「日系」中毒|听说你也喜欢开口跪？,"https://music.163.com/playlist?id=748209731
",14530248,540000,3946,1684,挽梦忆笙歌owo,2017-06-02
21,【双声道】用耳机才能感受的歌曲,"https://music.163.com/playlist?id=460001609
",12230696,520000,3980,1627,卡布达和可达鸭,2016-09-07
73,日系/无前奏：开口即跪 一秒沦陷,"https://music.163.com/playlist?id=2105681544
",14074749,510000,2940,1766,莉犬,2018-02-17
75,感动心灵的99首ACG旋律,"https://music.163.com/playlist?id=436692330
",12718245,410000,2742,2320,xept,2016-08-04
38,『修仙』 玩游戏/晨跑'必备BGM/耳机福利,"https://music.163.com/playlist?id=1980964492
",9148124,370000,1930,1426,Soviet_Mo_Mo,2017-11-18
71,日语｜无可救药的孤独症患者,"https://music.163.com/playlist?id=984196486
",10878765,370000,3702,5513,PurionPurion,2017-11-04
67,如何用手机铃声惊艳四座？ 日语篇,"https://music.163.com/playlist?id=2326098492
",9048998,360000,1634,1889,白川京,2018-07-21
189,百首日系抒情，总有一首触动你的心,"https://music.163.com/playlist?id=2048970456
",9721479,340000,2976,1133,PurionPurion,2018-01-07
95,「日系」那些细腻温柔的女声＋做作业专用,"https://music.163.com/playlist?id=827912183
",8346904,340000,2976,1146,-Hxxxxy,2017-07-28
24,超好听の二次元日文歌,"https://music.163.com/playlist?id=443797814
",9794106,330000,2007,2078,小仙女七七酱,2016-08-15
33,「日系女音&电子」爱不释手的默契结合,"https://music.163.com/playlist?id=702453759
",8349755,300000,1727,941,Areal肥阳,2017-04-20
25,【日积月累】的日系良曲,"https://music.163.com/playlist?id=467824586
",8755555,290000,2463,2355,左丘绮山,2016-09-19
86,′ 日 语 心 碎 歌 集 º 病 名 為 愛,"https://music.163.com/playlist?id=971620509
",7123844,280000,2026,971,魔理沙的扫帚视角,2017-10-25
53,【日】前奏×开口＝入坑 (Part.1),"https://music.163.com/playlist?id=798254441
",8499070,260000,1971,1395,DMao酱,2017-07-04
190,「日语民谣」月色中的浅吟低唱,"https://music.163.com/playlist?id=806728741
",6747901,260000,4187,1162,xept,2017-07-11
37,听了想接吻的少年音,"https://music.163.com/playlist?id=460100204
",6654827,230000,2683,2733,临也呆死ki,2016-09-08
116,『日系/ACG』打破次元壁的宅音⊙▽⊙,"https://music.163.com/playlist?id=634265582
",7226181,230000,1445,1106,奈奈奈奈奈亚子,2017-03-18
227,日系丨高音炸裂！音量已无法降低,"https://music.163.com/playlist?id=998121738
",6138459,210000,1237,1775,莉犬,2017-11-15
130,可爱即正义！想和这样的女孩子交往！,"https://music.163.com/playlist?id=817197703
",5324529,180000,1882,1639,花嫁赫萝,2017-07-19
192,"流行电子X傲娇女毒,hold不住的新式反差萌~","https://music.163.com/playlist?id=610219424
",5694281,170000,1053,828,Areal肥阳,2017-02-23
31,『精灵物语/暗系童话』精灵吟唱黑化心,"https://music.163.com/playlist?id=540713205
",3004646,170000,1372,890,悠扬菌u,2016-12-18
194,魔法料理：50%电音加上50%萌音！,"https://music.163.com/playlist?id=2176407608
",2904791,170000,1096,607,白川京,2018-04-08
191,日系温柔女声| 沐浴在歌声中的暖阳下,"https://music.163.com/playlist?id=2088799380
",6377705,170000,1316,571,莉犬,2018-02-05
6,那些要收费又很好听的歌,"https://music.163.com/playlist?id=373824449
",9094771,160000,1848,1777,Hope_And_Legacy,2016-05-02
141,如何优雅地逼疯你的室友？,"https://music.163.com/playlist?id=894736116
",5825754,160000,6349,1423,扥你,2017-08-26
245,心碎日语| 好想触碰你，好想见到你,"https://music.163.com/playlist?id=2290267281
",5525456,160000,1090,805,莉犬,2018-06-27
94,『日语电子』清纯可爱 温柔中不失一抹躁动,"https://music.163.com/playlist?id=959795218
",4169976,150000,1154,589,ALvetX,2017-10-15
234,日式少年音，温柔少年心,"https://music.163.com/playlist?id=1992664557
",4512011,140000,1540,844,xept,2017-11-27
236,冰镇软萌音｜不能自已的Kawaii电音,"https://music.163.com/playlist?id=873024264
",2547208,130000,908,496,阿卡琳,2017-08-08
195,水果味汽水｜清甜软萌音捕获你的心,"https://music.163.com/playlist?id=689121986
",2664082,130000,903,658,阿卡琳,2017-04-07
41,腐向，带喘〖日语〗,"https://music.163.com/playlist?id=890339457
",1699666,130000,1718,1370,呐呐蛋,2017-08-22
70,值得循环的一百首日系男友音,"https://music.163.com/playlist?id=2108339599
",4075674,120000,1153,1119,凛口Lynko,2018-02-19
79,【日系男嗓】·人分两类 迷人乏味（一）,"https://music.163.com/playlist?id=819968635
",3695348,120000,1824,868,杉茶先生,2017-07-22
84,不戴耳机会出事系列.,"https://music.163.com/playlist?id=936982858
",2214301,120000,2235,1950,YAKAMOZI_,2017-09-29
32,Kawaii Bass丨汽水糖果柠檬软萌萝莉⚡️,"https://music.163.com/playlist?id=2320041657
",2727496,110000,701,459,音凛酱,2018-07-18
35,『日系KawaiiBass全收录』萌死人不偿命哦☆,"https://music.163.com/playlist?id=877221763
",1918782,110000,793,738,一只爱听歌的狐狸,2017-08-12
235,不需要过多的伴奏，清唱也是一种美,"https://music.163.com/playlist?id=959475356
",3481456,110000,1265,452,PurionPurion,2017-10-15
262,元气少女音｜沉溺于这场甜美梦境,"https://music.163.com/playlist?id=2188265841
",3904186,110000,752,957,莉犬,2018-04-16
30,【日系】用来画画做作业超有干劲的撒~,"https://music.163.com/playlist?id=2057178951
",2310311,100000,745,1036,日常池,2018-01-13
49,日系&ACG｜百首经典奏响动人乐章,"https://music.163.com/playlist?id=430657150
",3818430,100000,1043,1329,阿卡琳,2016-07-26
76,「ACG」动漫燃曲嘉年华！你们准备好了吗？,"https://music.163.com/playlist?id=444349258
",4827122,100000,542,670,野良兔,2016-08-15
8,这个歌单就是你的补番表,"https://music.163.com/playlist?id=2037209821
",1892445,94147,820,1755,sunbabys,2017-12-31
50,日语 | 暴击心脏的明亮少年音,"https://music.163.com/playlist?id=631601297
",2623507,92009,970,1222,__七小,2017-03-16
29,无限循环！40首日系悦耳R&B女声,"https://music.163.com/playlist?id=2147760874
",2687019,88524,723,245,友Xyi,2018-03-19
46,《你的名字。》原声带及各种衍生曲,"https://music.163.com/playlist?id=525610658
",4381587,87137,927,734,团战专用小火把,2016-12-03
89,日系无前奏 丨 几秒内所带来的惊艳与感动,"https://music.163.com/playlist?id=2146803269
",2312756,85331,463,400,tsmki,2018-03-18
193,百部动画摇滚，百首经典旋律,"https://music.163.com/playlist?id=2174130269
",3513290,82902,487,772,花嫁赫萝,2018-04-06
288,日系燃向丨此刻光辉 将引领着我们,"https://music.163.com/playlist?id=813333839
",2051187,81873,396,498,莉犬,2017-07-16
90,「安静的日语」一个人的音乐,"https://music.163.com/playlist?id=2041782377
",1781877,81105,513,507,普通市民佐菲,2018-01-03
275,日系对唱丨聆听他们绽放在青春的美好,"https://music.163.com/playlist?id=2049903536
",2669501,78062,527,435,莉犬,2018-01-08
72,可爱向｜女孩子就是像棉花糖一样甜甜的！,"https://music.163.com/playlist?id=949406201
",1840434,78013,668,885,_温艽i,2017-10-07
249,「日语摇滚」激燃之上的亮丽女声,"https://music.163.com/playlist?id=2318367080
",3747012,77916,479,317,xept,2018-07-16
237,东京街头霓虹灯下罐装啤酒少女,"https://music.163.com/playlist?id=928166588
",2234252,76898,822,964,花嫁赫萝,2017-09-22
28,【日系&ACG】圣者与精灵共咏的契绊诗,"https://music.163.com/playlist?id=2181436358
",1312568,74983,501,276,幻丶樱丨Sakura,2018-04-12
127,『百首日系可爱元气萌音』,"https://music.163.com/playlist?id=759037438
",2336589,74184,740,478,暖色乐章,2017-06-11
93,病娇【魔音】緋色月下、狂咲ノ絶,"https://music.163.com/playlist?id=2041511544
",1090311,72653,532,391,死于脚气攻心的道友,2018-01-03
124,【来自身陷泥潭之人的呼救】请阅读简介,"https://music.163.com/playlist?id=910386394
",1319374,71654,386,975,知这个名字被该死的占用了,2017-09-07
97,【日系】睡前，来一杯梦吧,"https://music.163.com/playlist?id=954645801
",2557541,70754,819,389,南十字星的猫,2017-10-12
139,「日系病娇」 喜欢你到崩坏。,"https://music.163.com/playlist?id=929971396
",1081123,70069,412,662,郭德纲味元气少女,2017-09-23
12,我真的特别喜欢这个日语歌单！,"https://music.163.com/playlist?id=808707305
",1209528,68766,295,1414,五号桃小姐,2017-07-13
238,[日系]清澈水灵的治愈萌音,"https://music.163.com/playlist?id=636598477
",1785099,68439,585,500,Areal肥阳,2017-03-21
56,「日系甜萌」想做你的最甜 可爱且乖,"https://music.163.com/playlist?id=975469597
",1509090,68169,510,263,跨过凌晨,2017-10-28
106,【主v家抖腿/负能/神曲】恶碱性劣等生,"https://music.163.com/playlist?id=564030476
",1167887,67315,376,299,二宫肆捌会长,2017-01-09
200,日系/甜歌 : 其实我有七个人格,"https://music.163.com/playlist?id=2143886044
",1252347,65861,427,412,海厘,2018-03-17
279,日系小清新恋歌｜想把世界送给你,"https://music.163.com/playlist?id=2362006321
",2624810,63638,407,855,莉犬,2018-08-13
105,【高燃向】100首高分日系燃曲大集合第一弹,"https://music.163.com/playlist?id=523275570
",2057711,63608,312,429,提提提尔,2016-11-30
197,复习累了！听完忍不住伸个懒腰の温柔系,"https://music.163.com/playlist?id=2032706580
",1605990,62802,586,561,友Xyi,2017-12-28
17,日系摇滚『东京日和° 一番街的清冽少年』,"https://music.163.com/playlist?id=2062601053
",2633856,62721,828,494,瀰生,2018-01-17
199,【女声控】美到窒息，化与灵魂共鸣的音符♪,"https://music.163.com/playlist?id=2075331099
",1380967,61643,324,329,绊爱酱,2018-01-26
274,『软音萌电』医疗兵就位，恶势力散退！,"https://music.163.com/playlist?id=2122586943
",1116528,61393,397,510,Areal肥阳,2018-03-01
65,碎花糖果//少女摇曳的裙摆与温柔的低语,"https://music.163.com/playlist?id=978181000
",1339143,61376,463,565,海厘,2017-10-30
47,日语 | 遇见你 治愈我,"https://music.163.com/playlist?id=477939905
",1367360,61004,471,394,迟到情书,2016-10-03
