,title,link,play_times,creator
17,耳朵喜欢你 好听到可以单曲循环,https://music.163.com/playlist?id=2232237850,63910000,鹿白川
5,『网易云热歌』热评10w+（持续更新）,https://music.163.com/playlist?id=2204388891,60120000,-小乔丶
48,百首良曲|刷（抄）作业必备燃曲,https://music.163.com/playlist?id=1982383224,55000000,贰拾壹阿-
156,攒了一大堆好听的歌想和你一起听,https://music.163.com/playlist?id=2353471182,53510000,鹿白川
41,2018年度最热新歌TOP100,https://music.163.com/playlist?id=2578068117,37020000,网易云音乐
12,你需要一首BGM，来撑起你的内心戏！,https://music.163.com/playlist?id=826721715,30470000,小铁Joe
70,「电子•女声」惊艳耳际，一秒倾心,https://music.163.com/playlist?id=798130521,29420000,撩汉高手-
34,『开口脆』迷幻嗓音极致瞬间❤️,https://music.163.com/playlist?id=824754853,28570000,--CJN
73,电音史上最伟大的250首EDM音乐作品,https://music.163.com/playlist?id=954297462,23880000,welphenEDM
28,2018全年抖腿指南，老铁你怕了吗？,https://music.163.com/playlist?id=2050704516,18020000,NickyRomero
109,2018抖音热门BGM，持续更新（抖音2018）,https://music.163.com/playlist?id=2127487363,16620000,活该你风生水起
1280,50部爱情电影，50种浓情蜜意,https://music.163.com/playlist?id=863956318,16110000,鹏鹏i苹果
175,提神醒脑 疯狂抖腿魔性摇头.GIF,https://music.163.com/playlist?id=2364146680,15780000,鹿白川
92,欧美精选 | 嗨 伙计 要来首10w+吗？,https://music.163.com/playlist?id=2301227992,15330000,KillBunny
40,全球史诗级万评电音【百种风格】!,https://music.163.com/playlist?id=2303371412,14300000,一入电音深似海_-
68,神级Remix电音背后的优质原作☆总集完结篇,https://music.163.com/playlist?id=925845034,14260000,一只爱听歌的狐狸
157,2018公告牌全球百大DJ/电音制作人！,https://music.163.com/playlist?id=2153498917,14220000,welphenEDM
60,R&B柔情男嗓丨萦绕心间的温暖细腻,https://music.163.com/playlist?id=912256078,12350000,折尓
94,【2018年度电影精选| Ready Story 】,https://music.163.com/playlist?id=2563772680,9050000,鹏鹏i苹果
76,热血燃向｜提神醒脑防瞌睡型BGM,https://music.163.com/playlist?id=891370354,8780000,是走一步
84,吃鸡必备BGM 主播专用,https://music.163.com/playlist?id=2031769374,8660000,Dum-娅馨
136,经典复刻 | 那些惊艳耳朵的神级翻唱,https://music.163.com/playlist?id=2498061427,7920000,她的水彩笔
123,欧美·耳朵怀孕 | 盘点那些流行歌手,https://music.163.com/playlist?id=2430220144,7700000,赫索里茨
158,J.Fla is here !  - 1 Million !!!,https://music.163.com/playlist?id=987958198,7660000,JFla_Rabbits
33,「女声控」音色沁人心 旋律美如画,https://music.163.com/playlist?id=2040074016,7590000,怪兽Sound
88,Beautiful Now【音乐的力量·电音】,https://music.163.com/playlist?id=2050976156,7390000,Demons_xsw
127,「高质量英文歌」让你单曲循环的英文歌,https://music.163.com/playlist?id=2256615030,7190000,小番茄种植员啦啦
180,论如何优雅的做个没有感情的大人,https://music.163.com/playlist?id=2156205051,7160000,鹿白川
67,〖私藏〗节奏盛宴，电音中的质感女嗓,https://music.163.com/playlist?id=2255720648,7130000,名侦探-柯北
1281,欧美对唱||用最浪漫的副歌 你也轻轻的附和,https://music.163.com/playlist?id=2333641827,6810000,她與樹洞先生
159,存在即女王 | 来人啊 把本宫的BGM呈上,https://music.163.com/playlist?id=869655720,6760000,KillBunny
55,【万评电音】抬头，已是一片星海,https://music.163.com/playlist?id=2237048282,6690000,谐星七十六号
1298,励志摇滚 · 人生本是永无止境的攀登,https://music.163.com/playlist?id=2246462833,6630000,xept
56,电影中的钢琴曲｜最会讲故事³,https://music.163.com/playlist?id=2321804269,6560000,下一颗巧克力
112,一起聆听这些中文被翻唱成英文的优秀作品,https://music.163.com/playlist?id=2311898947,6540000,卿公子的字
160,【游戏必备BGM】旋律系电音伴你自由畅玩！,https://music.163.com/playlist?id=2325024301,6230000,谐星七十六号
